"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"99","Vitamin B2",NA,"Smp","LB12HL","EF","Vitamin B2_IS.Norm.Area",55498.5481937994,"CYANO_Aq",67.8,753.7,51100.86,1.08605898597009
"100","Vitamin B2",NA,"Smp","RB12HL","AB","Vitamin B2_IS.Norm.Area",824898.73355845,"CYANO_Aq",227.3,753.7,171316.01,4.81507089476605
"101","Vitamin B2",NA,"Smp","RB12HL","CD","Vitamin B2_IS.Norm.Area",571691.446717381,"CYANO_Aq",196.2,753.7,147875.94,3.86602071112705
"102","Vitamin B2",NA,"Smp","RB12HL","EF","Vitamin B2_IS.Norm.Area",688408.157800703,"CYANO_Aq",200.8,753.7,151342.96,4.54866323349763
"103","Vitamin B2",NA,"Smp","LB12LL","AB","Vitamin B2_IS.Norm.Area",55679.1433331563,"CYANO_Aq",57.4,753.7,43262.38,1.28701063910853
"104","Vitamin B2",NA,"Smp","LB12LL","CD","Vitamin B2_IS.Norm.Area",44891.0878177822,"CYANO_Aq",50.3,753.7,37911.11,1.1841143089132
"105","Vitamin B2",NA,"Smp","LB12LL","EF","Vitamin B2_IS.Norm.Area",50950.8182057778,"CYANO_Aq",58.5,753.7,44091.45,1.15557139095625
"106","Vitamin B2",NA,"Smp","RB12LL","AB","Vitamin B2_IS.Norm.Area",361745.223528661,"CYANO_Aq",215.5,753.7,162422.35,2.22718870604114
"107","Vitamin B2",NA,"Smp","RB12LL","CD","Vitamin B2_IS.Norm.Area",277764.998596382,"CYANO_Aq",201.7,753.7,152021.29,1.82714538599417
"108","Vitamin B2",NA,"Smp","RB12LL","EF","Vitamin B2_IS.Norm.Area",353433.186383437,"CYANO_Aq",255.4,753.7,192494.98,1.83606443338645
"109","Glutamine",NA,"Smp","LB12HL","AB","AreatoBMIS",167592400,"HILIC_Dil",60.9,753.7,45900.33,3651.22429403013
"110","Glutamine",NA,"Smp","LB12HL","CD","AreatoBMIS",336745400,"HILIC_Dil",65.1,753.7,49065.87,6863.12909564225
"111","Glutamine",NA,"Smp","LB12HL","EF","AreatoBMIS",334540300,"HILIC_Dil",67.8,753.7,51100.86,6546.66672928792
"112","Glutamine",NA,"Smp","RB12HL","AB","AreatoBMIS",830004100,"HILIC_Dil",227.3,753.7,171316.01,4844.87176650915
"113","Glutamine",NA,"Smp","RB12HL","CD","AreatoBMIS",1066882200,"HILIC_Dil",196.2,753.7,147875.94,7214.71119642587
"114","Glutamine",NA,"Smp","RB12HL","EF","AreatoBMIS",1428994400,"HILIC_Dil",200.8,753.7,151342.96,9442.09363950593
"115","Glutamine",NA,"Smp","LB12LL","AB","AreatoBMIS",184560100,"HILIC_Dil",57.4,753.7,43262.38,4266.06441901717
"116","Glutamine",NA,"Smp","LB12LL","CD","AreatoBMIS",82848800,"HILIC_Dil",50.3,753.7,37911.11,2185.34355760092
"117","Glutamine",NA,"Smp","LB12LL","EF","AreatoBMIS",128427800,"HILIC_Dil",58.5,753.7,44091.45,2912.75973006104
"118","Glutamine",NA,"Smp","RB12LL","AB","AreatoBMIS",2214290300,"HILIC_Dil",215.5,753.7,162422.35,13632.9162827653
"119","Glutamine",NA,"Smp","RB12LL","CD","AreatoBMIS",1812849900,"HILIC_Dil",201.7,753.7,152021.29,11924.9737980779
"120","Glutamine",NA,"Smp","RB12LL","EF","AreatoBMIS",1910386900,"HILIC_Dil",255.4,753.7,192494.98,9924.34659854506
"121","Proline",NA,"Smp","LB12HL","AB","AreatoBMIS",65457737700,"HILIC_Dil",60.9,753.7,45900.33,1426084.25037467
"122","Proline",NA,"Smp","LB12HL","CD","AreatoBMIS",79520515300,"HILIC_Dil",65.1,753.7,49065.87,1620688.99012695
"123","Proline",NA,"Smp","LB12HL","EF","AreatoBMIS",80294716900,"HILIC_Dil",67.8,753.7,51100.86,1571298.73939499
"124","Proline",NA,"Smp","RB12HL","AB","AreatoBMIS",165878864100,"HILIC_Dil",227.3,753.7,171316.01,968262.476460898
"125","Proline",NA,"Smp","RB12HL","CD","AreatoBMIS",191438441700,"HILIC_Dil",196.2,753.7,147875.94,1294588.16424092
"126","Proline",NA,"Smp","RB12HL","EF","AreatoBMIS",207230633700,"HILIC_Dil",200.8,753.7,151342.96,1369278.31793431
