time,lat,lon,depth,compound,treatment_type,eddy_vorticity,size_fraction_um,value
2017-10-04T16:00:04,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,noB12,Anticyclonic,0.2,240757.6882
2017-10-04T16:00:05,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,B12,Anticyclonic,0.2,252368.6022
2017-10-04T16:00:06,27,27,15,2-Hydroxy-4-(methylthio)butyric acid,Time0,Anticyclonic,0.2,188890.7204
2017-10-04T16:00:07,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,Control,Anticyclonic,5,263403.2581
2017-10-04T16:00:08,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DMB,Anticyclonic,5,254468.1398
2017-10-04T16:00:09,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DMBnoB12,Anticyclonic,5,264138.8602
2017-10-04T16:00:10,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DeepSeaWater,Anticyclonic,5,285235.8925
2017-10-04T16:00:11,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,noB12,Anticyclonic,5,252205.828
2017-10-04T16:00:12,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,B12,Anticyclonic,5,239679.3871
2017-10-04T16:00:13,27,27,15,2-Hydroxy-4-(methylthio)butyric acid,Time0,Anticyclonic,5,281797.6774
2017-07-04T08:55:00,25,25,25,2-keto-4-methylthiobutyric acid,Control,Cyclonic,0.2,5701.866686
2017-07-04T08:55:00,25,25,25,2-keto-4-methylthiobutyric acid,DMB,Cyclonic,0.2,4714.270497
2017-07-04T08:55:01,25,25,25,2-keto-4-methylthiobutyric acid,DMBnoB12,Cyclonic,0.2,
2017-07-04T08:55:02,25,25,25,2-keto-4-methylthiobutyric acid,DeepSeaWater,Cyclonic,0.2,3614.956677
2017-07-04T08:55:03,25,25,25,2-keto-4-methylthiobutyric acid,noB12,Cyclonic,0.2,10543.68227
2017-07-04T08:55:04,25,25,25,2-keto-4-methylthiobutyric acid,B12,Cyclonic,0.2,8356.061955
2017-07-04T08:55:00,25,25,15,2-keto-4-methylthiobutyric acid,Time0,Cyclonic,0.2,18113.71449
2017-07-04T08:55:00,25,25,25,2-keto-4-methylthiobutyric acid,Control,Cyclonic,5,22795.88005
2017-07-04T08:55:00,25,25,25,2-keto-4-methylthiobutyric acid,DMB,Cyclonic,5,21460.93972
2017-07-04T08:55:01,25,25,25,2-keto-4-methylthiobutyric acid,DMBnoB12,Cyclonic,5,11018.34931
2017-07-04T08:55:02,25,25,25,2-keto-4-methylthiobutyric acid,DeepSeaWater,Cyclonic,5,16830.4704
2017-07-04T08:55:03,25,25,25,2-keto-4-methylthiobutyric acid,noB12,Cyclonic,5,65634.21953
2017-07-04T08:55:04,25,25,25,2-keto-4-methylthiobutyric acid,B12,Cyclonic,5,13504.92769
2017-07-04T08:55:00,25,25,15,2-keto-4-methylthiobutyric acid,Time0,Cyclonic,5,5870.786761
2017-10-04T16:00:00,27,27,25,2-keto-4-methylthiobutyric acid,Control,Anticyclonic,0.2,
2017-10-04T16:00:01,27,27,25,2-keto-4-methylthiobutyric acid,DMB,Anticyclonic,0.2,5200.888103
2017-10-04T16:00:02,27,27,25,2-keto-4-methylthiobutyric acid,DMBnoB12,Anticyclonic,0.2,
2017-10-04T16:00:03,27,27,25,2-keto-4-methylthiobutyric acid,DeepSeaWater,Anticyclonic,0.2,9518.241596
2017-10-04T16:00:04,27,27,25,2-keto-4-methylthiobutyric acid,noB12,Anticyclonic,0.2,
2017-10-04T16:00:05,27,27,25,2-keto-4-methylthiobutyric acid,B12,Anticyclonic,0.2,5480.244491
2017-10-04T16:00:06,27,27,15,2-keto-4-methylthiobutyric acid,Time0,Anticyclonic,0.2,
2017-10-04T16:00:07,27,27,25,2-keto-4-methylthiobutyric acid,Control,Anticyclonic,5,
2017-10-04T16:00:08,27,27,25,2-keto-4-methylthiobutyric acid,DMB,Anticyclonic,5,
2017-10-04T16:00:09,27,27,25,2-keto-4-methylthiobutyric acid,DMBnoB12,Anticyclonic,5,
2017-10-04T16:00:10,27,27,25,2-keto-4-methylthiobutyric acid,DeepSeaWater,Anticyclonic,5,13043.21067
2017-10-04T16:00:11,27,27,25,2-keto-4-methylthiobutyric acid,noB12,Anticyclonic,5,7395.09723
2017-10-04T16:00:12,27,27,25,2-keto-4-methylthiobutyric acid,B12,Anticyclonic,5,2844.892234
2017-10-04T16:00:13,27,27,15,2-keto-4-methylthiobutyric acid,Time0,Anticyclonic,5,4220.106502
2017-07-04T08:55:00,25,25,25,2-Ketoglutaric acid,Control,Cyclonic,0.2,427311.8876
2017-07-04T08:55:00,25,25,25,2-Ketoglutaric acid,DMB,Cyclonic,0.2,340125.7118
2017-07-04T08:55:01,25,25,25,2-Ketoglutaric acid,DMBnoB12,Cyclonic,0.2,459134.7642
2017-07-04T08:55:02,25,25,25,2-Ketoglutaric acid,DeepSeaWater,Cyclonic,0.2,478895.1482
2017-07-04T08:55:03,25,25,25,2-Ketoglutaric acid,noB12,Cyclonic,0.2,609344.127
2017-07-04T08:55:04,25,25,25,2-Ketoglutaric acid,B12,Cyclonic,0.2,786448.4343
2017-07-04T08:55:00,25,25,15,2-Ketoglutaric acid,Time0,Cyclonic,0.2,631585.336
