"","Mass.Feature","171002_Smp_IL1Control_1","171002_Smp_IL1Control_2","171002_Smp_IL1Control_3","171002_Smp_IL1DMB_1","171002_Smp_IL1DMB_2","171002_Smp_IL1DMB_3","171002_Smp_IL1DMBnoBT_1","171002_Smp_IL1DMBnoBT_2","171002_Smp_IL1DSW_1","171002_Smp_IL1DSW_3","171002_Smp_IL1IT0_1","171002_Smp_IL1IT0_2","171002_Smp_IL1IT0_3","171002_Smp_IL1noBT_1","171002_Smp_IL1noBT_2","171002_Smp_IL1noBT_3","171002_Smp_IL1WBT_1","171002_Smp_IL1WBT_2","171002_Smp_IL1WBT_3","WvnoB12_pvalue","WvnoB12_qvalue","WvnoB12_FC","WB12_ave","noB12_ave","B12vnoB12Sig","AveSmp","WDMBvnoDMB_pvalue","WDMBvnoDMB_qvalue","WDMBvnoDMB_FC","WDMBave","noDMBave","DMBvnoDMBSig","T0vTF_pvalue","T0vTF_qvalue","T0vTF_FC","T0_ave","TF_ave","T0vTFSig","T0vDSW_pvalue","T0vDSW_qvalue","T0vDSW_FC","T02_ave","DSW_ave","T0vDSWSig"
"49","Ketoglutaric Acid",596588.3,353498.2,331849.2,348317.1,350947.8,321112.3,395887.3,522382.2,213802.2,743988.1,637006,608771.2,648978.9,881860.7,678257.6,267914.1,1216719,610581.7,532044.8,0.564782860150177,0.816446631908308,0.368095059834174,786448.5,609344.133333333,FALSE,697896.316666667,0.305553940107184,0.571762177267846,-0.432849465747877,340125.733333333,459134.75,FALSE,0.135214737099777,0.545457154915403,0.563688250995825,631585.366666667,427311.9,FALSE,0.66728406028841,0.836613554804421,0.39926792069661,631585.366666667,478895.15,FALSE
"50","L-Pyroglutamic acid",24125644,19038182,21815490,20512426,19684521,18157848,19097985,23172182,26863845,24089949,19745567,71661996,20931710,19157486,21412393,18547115,32550072,52370628,25058827,0.171561879462777,0.650820895217268,0.895590169143014,36659842.3333333,19705664.6666667,FALSE,28182753.5,0.55594854481912,0.750089306501987,-0.119751106146425,19451598.3333333,21135083.5,FALSE,0.453811319242469,0.792002601719357,0.789809909268196,37446424.3333333,21659772,FALSE,0.556992557826086,0.816282196814092,0.555638392959721,37446424.3333333,25476897,FALSE
"51","Leucine",158860054,164844861,87143226,138200574,175725646,179932584,212817611,192268099,134873230,143910333,192086615,175220515,226240563,222355610,193488210,142696015,197146610,182714803,215617298,0.662113526997998,0.877697849593099,0.092389753891982,198492903.666667,186179945,FALSE,192336424.333333,0.109601799135389,0.408949261318009,-0.299091064347613,164619601.333333,202542855,FALSE,0.119925703496904,0.545457154915403,0.530758719685834,197849231,136949380.333333,FALSE,0.0507043068318337,0.430986608070587,0.505255955034896,197849231,139391781.5,FALSE
"52","Lysine",2572859,1805458,1511543,1412802,1359712,1810011,1989400,2295087,1959974,2282667,2162566,2258167,1972104,2206296,2271363,2021963,2210727,2175629,2335774,0.45912593696686,0.816446631908308,0.0485626259152869,2240710,2166540.66666667,FALSE,2203625.33333333,0.0742608191719266,0.332219454190198,-0.487942223915768,1527508.33333333,2142243.5,FALSE,0.653874316221796,0.873755447754446,0.118222967415901,2130945.66666667,1963286.66666667,FALSE,0.963777131237443,0.967072028841293,0.00653120166485492,2130945.66666667,2121320.5,FALSE
"53","Malic Acid",12190692,7539154,7129344,6586264,7358312,7146362,9858505,9100948,8099608,9305162,9143396,9761039,8142135,10083318,8976971,7524722,9648566,7727016,7461596,0.595715762742799,0.830095734969474,-0.0981117994915349,8279059.33333333,8861670.33333333,FALSE,8570364.83333333,0.0412886436480058,0.292461225840041,-0.431256583211893,7030312.66666667,9479726.5,FALSE,0.973444409841148,0.99088505635724,0.0100298478522896,9015523.33333333,8953063.33333333,FALSE,0.719043263984134,0.860826442797907,0.051000395493194,9015523.33333333,8702385,FALSE
"54","Melamine",3663536,3004725,5636741,7470091,6751857,38870979,2973446,26324737,4029615,3873848,3751414,11491836,4000698,4292253,15818404,4223708,14536568,102732234,21689770,0.308537757492443,0.816446631908308,2.51358780005748,46319524,8111455,FALSE,27215489.5,0.861347928894109,0.903883629086411,0.272745983270231,17697642.3333333,14649091.5,FALSE,0.463169231361208,0.792002601719357,0.645159913876898,6414649.33333333,4101667.33333333,FALSE,0.43446670951453,0.753666740994593,0.698885473845551,6414649.33333333,3951731.5,FALSE
"55","MESNA (Sodium 2-mercaptoethanesulfonate)",4313411,3037479,6356300,6519527,5867915,6167568,5079247,6156092,5414869,2692130,5474510,1859282,3692194,6094492,3854552,5570887,3261159,5325336,5739304,0.717132200913552,0.878713089348732,-0.115506538084116,4775266.33333333,5173310.33333333,FALSE,4974288.33333333,0.473700327555336,0.682449624444127,0.138802622724352,6185003.33333333,5617669.5,FALSE,0.564089999278408,0.859116245106479,-0.314025171490069,3675328.66666667,4569063.33333333,FALSE,0.844700689822155,0.893834703651408,-0.141294696234405,3675328.66666667,4053499.5,FALSE
"56","Methionine",247792.8,664083.2,489320.7,36276.19,48336.45,162231.6,366914.5,239863.7,645863.7,1551387,80234.58,76037.06,47340.16,828037,598610.5,904985.2,85381.61,381116.1,394354.2,0.0232683183425795,0.516682437205792,-1.43750355878946,286950.636666667,777210.9,FALSE,532080.768333333,0.110656858944873,0.408949261318009,-1.88253077403975,82281.4133333333,303389.1,FALSE,0.0794624457013884,0.545457154915403,-2.7827664174631,67870.6,467065.566666667,FALSE,0.263338692677608,0.639536825074191,-4.01676890917858,67870.6,1098625.35,FALSE
"57","Methionine Sulfoxide",81946.52,314478.8,39005,24246.81,45240,52023.19,23453.52,26879.26,13848.9,388905,27591.16,454843.5,89553.87,44220.32,120228.4,26750.16,272528.9,9091.032,29225.45,0.691832422620443,0.877697849593099,0.701123073620461,103615.127333333,63732.96,FALSE,83674.0436666667,0.204520960965322,0.541750473012272,0.686542359905477,40503.3333333333,25166.39,FALSE,0.790427557995911,0.893101525788822,0.393544347997834,190662.843333333,145143.44,FALSE,0.967072028841293,0.967072028841293,-0.0788748426697044,190662.843333333,201376.95,FALSE
"58","Methylphosphonic Acid",182942492,188445083,175247651,170484062,209947577,176821704,211443318,191267071,174118425,205670066,166990547,184128791,158998341,181704316,190399017,193623234,195356603,171850168,183631413,0.563024371700425,0.816446631908308,-0.0384763524668202,183612728,188575522.333333,FALSE,186094125.166667,0.399183971541412,0.616920683291273,-0.116371825357468,185751114.333333,201355194.5,FALSE,0.240772064352868,0.641074900528644,-0.099748331641721,170039226.333333,182211742,FALSE,0.408134505125812,0.738115594376468,-0.159328587196344,170039226.333333,189894245.5,FALSE
"59","N-acetyltaurine",130509.4,116866.3,154879.6,153866.5,155742.2,101423.3,234074.9,125282.8,62686.77,85485.45,152804.7,194656.4,173074.8,131630.1,149491.3,201447.1,140639.7,168930.6,79959.55,0.410319670414842,0.816446631908308,-0.308999858230984,129843.283333333,160856.166666667,FALSE,145349.725,0.57310021176683,0.761148718752822,-0.391132383753532,137010.666666667,179678.85,FALSE,0.0747098538239964,0.545457154915403,0.371886236252386,173511.966666667,134085.1,FALSE,0.0117332310262741,0.267921056600507,1.22776017515449,173511.966666667,74086.11,FALSE
"60","N-methyltaurine",358134.1,730648.5,310954.8,107056.8,26770.74,31740.03,56931.68,36063.84,288117.8,895865.2,105027.7,983350.7,51286.03,274026.6,696678.2,86074.81,661791.2,347437.8,33639.06,0.986409751731585,0.986409751731585,-0.0191178912339646,347622.686666667,352259.87,FALSE,349941.278333333,0.779660590349365,0.867824630922933,0.247224494577679,55189.19,46497.76,FALSE,0.811251722420458,0.893101525788822,-0.296547102749368,379888.143333333,466579.133333333,FALSE,0.65862033564514,0.836613554804421,-0.640001776499256,379888.143333333,591991.5,FALSE
"61","N(e)-Acetyl-Lysine",2353763,2245291,1552611,1397095,2528128,3367643,3407266,2820565,1964945,3322101,2868993,3566567,3487746,2787682,3801017,1611008,1854750,4299858,2784667,0.808810480536709,0.881396036482311,0.124585470730505,2979758.33333333,2733235.66666667,FALSE,2856497,0.370247721883969,0.582797340002544,-0.357206410252566,2430955.33333333,3113915.5,FALSE,0.0203122342150774,0.545457154915403,0.689843901022853,3307768.66666667,2050555,FALSE,0.49947625385485,0.801677131563997,0.323396462226012,3307768.66666667,2643523,FALSE
"62","NAD",282502.1,212147.2,111580.8,250511.4,310900.6,348929.9,472424,498771,310412.3,428281.4,259870.9,327645.7,264215.3,484817.3,514412.3,463327.4,322699.8,262210.5,426957.6,0.0781550398234344,0.6340928117215,-0.531471894147486,337289.3,487519,FALSE,412404.15,0.0137836063424758,0.181870581855295,-0.678315010264449,303447.3,485597.5,FALSE,0.236250654152413,0.641074900528644,0.490533898879944,283910.633333333,202076.7,FALSE,0.364938792101996,0.738115594376468,-0.379539390104089,283910.633333333,369346.85,FALSE
