"","Mass.Feature","Replicate.Name","Adjusted.Area"
"234","AMP","171023_Smp_IL2Control5um_3",2365185.20686162
"235","AMP","171023_Smp_IL2DMB5um_1",1996124.93690608
"236","AMP","171023_Smp_IL2DMB5um_2",1655591.21450695
"237","AMP","171023_Smp_IL2DMB5um_3",4004237.86103709
"238","AMP","171023_Smp_IL2DMBnoBT5um_1",3095466.26468734
"239","AMP","171023_Smp_IL2DMBnoBT5um_2",4485687.95856301
"240","AMP","171023_Smp_IL2DMBnoBT5um_3",6639041.69932367
"241","AMP","171023_Smp_IL2DSW5um_1",8279038.4266592
"242","AMP","171023_Smp_IL2DSW5um_2",7471338.87527637
"243","AMP","171023_Smp_IL2DSW5um_3",8210021.74051009
"244","AMP","171023_Smp_IL2noBT5um_1",4440744.17456299
"245","AMP","171023_Smp_IL2noBT5um_2",6614850.27741277
"246","AMP","171023_Smp_IL2noBT5um_3",4507795.6122896
"247","AMP","171023_Smp_IL2WBT5um_1",1425345.44426136
"248","AMP","171023_Smp_IL2WBT5um_2",1865666.53008524
"249","AMP","171023_Smp_IL2WBT5um_3",1623980.0700627
"250","AMP","171023_Smp_IL2IT05um_1",1242695.84353296
"251","AMP","171023_Smp_IL2IT05um_2",2293377.51189508
"252","AMP","171023_Smp_IL2IT05um_3",2053313.72224295
"253","Arginine","171023_Smp_IL2Control5um_1",13022630.1364391
"254","Arginine","171023_Smp_IL2Control5um_2",12654523.3448446
"255","Arginine","171023_Smp_IL2Control5um_3",25617674.5623443
"256","Arginine","171023_Smp_IL2DMB5um_1",25745916.6694185
"257","Arginine","171023_Smp_IL2DMB5um_2",14773334.6439451
"258","Arginine","171023_Smp_IL2DMB5um_3",72573218.1524643
"259","Arginine","171023_Smp_IL2DMBnoBT5um_1",25254257.0114365
"260","Arginine","171023_Smp_IL2DMBnoBT5um_2",43995709.0063053
"261","Arginine","171023_Smp_IL2DMBnoBT5um_3",44028704.7735462
"262","Arginine","171023_Smp_IL2DSW5um_1",66475467.5587608
"263","Arginine","171023_Smp_IL2DSW5um_2",78050557.0499431
"264","Arginine","171023_Smp_IL2DSW5um_3",115308947.540583
"265","Arginine","171023_Smp_IL2noBT5um_1",38575637.9755461
"266","Arginine","171023_Smp_IL2noBT5um_2",74473192.8493624
"267","Arginine","171023_Smp_IL2noBT5um_3",54989733.6595244
"268","Arginine","171023_Smp_IL2WBT5um_1",9831499.07594698
"269","Arginine","171023_Smp_IL2WBT5um_2",16561150.8743503
"270","Arginine","171023_Smp_IL2WBT5um_3",24650926.8473491
"271","Arginine","171023_Smp_IL2IT05um_1",7694804.35223324
"272","Arginine","171023_Smp_IL2IT05um_2",11437397.3844826
"273","Arginine","171023_Smp_IL2IT05um_3",12000444.5404476
"274","Arsenobetaine","171023_Smp_IL2Control5um_1",16667250.4516129
"275","Arsenobetaine","171023_Smp_IL2Control5um_2",12127232.1612903
"276","Arsenobetaine","171023_Smp_IL2Control5um_3",24520993.0322581
"277","Arsenobetaine","171023_Smp_IL2DMB5um_1",16169515.0322581
"278","Arsenobetaine","171023_Smp_IL2DMB5um_2",17539295.4193548
"279","Arsenobetaine","171023_Smp_IL2DMB5um_3",27528218.1935484
"280","Arsenobetaine","171023_Smp_IL2DMBnoBT5um_1",10376293.5483871
"281","Arsenobetaine","171023_Smp_IL2DMBnoBT5um_2",7612568.29032258
"282","Arsenobetaine","171023_Smp_IL2DMBnoBT5um_3",10059835.2580645
"283","Arsenobetaine","171023_Smp_IL2DSW5um_1",18710130.1935484
"284","Arsenobetaine","171023_Smp_IL2DSW5um_2",18162294
"285","Arsenobetaine","171023_Smp_IL2DSW5um_3",15174367.8709677
"286","Arsenobetaine","171023_Smp_IL2noBT5um_1",8247241.70967742
"287","Arsenobetaine","171023_Smp_IL2noBT5um_2",13487323.7419355
"288","Arsenobetaine","171023_Smp_IL2noBT5um_3",15680715.3548387
"289","Arsenobetaine","171023_Smp_IL2WBT5um_1",18352260.8387097
"290","Arsenobetaine","171023_Smp_IL2WBT5um_2",22149539.5483871
"291","Arsenobetaine","171023_Smp_IL2WBT5um_3",11536939.0322581
"292","Arsenobetaine","171023_Smp_IL2IT05um_1",20861529.8064516
"293","Arsenobetaine","171023_Smp_IL2IT05um_2",16124275.0322581
"294","Arsenobetaine","171023_Smp_IL2IT05um_3",16983082.9032258
"295","Asparagine","171023_Smp_IL2Control5um_1",1202766.58064516
"296","Asparagine","171023_Smp_IL2Control5um_2",860269.096774193
"297","Asparagine","171023_Smp_IL2Control5um_3",2736897.4516129
"298","Asparagine","171023_Smp_IL2DMB5um_1",2207714.80645161
"299","Asparagine","171023_Smp_IL2DMB5um_2",959007.548387097
"300","Asparagine","171023_Smp_IL2DMB5um_3",1024235.09677419
"301","Asparagine","171023_Smp_IL2DMBnoBT5um_1",2177050.58064516
"302","Asparagine","171023_Smp_IL2DMBnoBT5um_2",5145655.22580645
"303","Asparagine","171023_Smp_IL2DMBnoBT5um_3",3041010.16129032
"304","Asparagine","171023_Smp_IL2DSW5um_1",4123704.58064516
"305","Asparagine","171023_Smp_IL2DSW5um_2",4811611.70967742
"306","Asparagine","171023_Smp_IL2DSW5um_3",5146601.93548387
"307","Asparagine","171023_Smp_IL2noBT5um_1",2185391.35483871
"308","Asparagine","171023_Smp_IL2noBT5um_2",7079225.5483871
"309","Asparagine","171023_Smp_IL2noBT5um_3",4077719
"310","Asparagine","171023_Smp_IL2WBT5um_1",1053343.61290323
"311","Asparagine","171023_Smp_IL2WBT5um_2",980527.419354839
"312","Asparagine","171023_Smp_IL2WBT5um_3",599580.612903226
"313","Asparagine","171023_Smp_IL2IT05um_1",380979.548387097
"314","Asparagine","171023_Smp_IL2IT05um_2",551544.451612903
"315","Asparagine","171023_Smp_IL2IT05um_3",748442.290322581
"316","Aspartic acid","171023_Smp_IL2Control5um_1",1677486.06032024
"317","Aspartic acid","171023_Smp_IL2Control5um_2",1541345.56762565
"318","Aspartic acid","171023_Smp_IL2Control5um_3",3614670.99124685
"319","Aspartic acid","171023_Smp_IL2DMB5um_1",2350390.0169567
"320","Aspartic acid","171023_Smp_IL2DMB5um_2",1612308.35048075
"321","Aspartic acid","171023_Smp_IL2DMB5um_3",1602485.19766768
"322","Aspartic acid","171023_Smp_IL2DMBnoBT5um_1",2473836.44644553
"323","Aspartic acid","171023_Smp_IL2DMBnoBT5um_2",4984504.64953958
"324","Aspartic acid","171023_Smp_IL2DMBnoBT5um_3",3827952.13423796
"325","Aspartic acid","171023_Smp_IL2DSW5um_1",3607855.84389851
"326","Aspartic acid","171023_Smp_IL2DSW5um_2",4686000.87837868
"327","Aspartic acid","171023_Smp_IL2DSW5um_3",4385208.23518278
"328","Aspartic acid","171023_Smp_IL2noBT5um_1",2749370.91334752
"329","Aspartic acid","171023_Smp_IL2noBT5um_2",7012032.8895401
"330","Aspartic acid","171023_Smp_IL2noBT5um_3",5386001.31044316
"331","Aspartic acid","171023_Smp_IL2WBT5um_1",1749922.61216602
"332","Aspartic acid","171023_Smp_IL2WBT5um_2",1449458.9428656
"333","Aspartic acid","171023_Smp_IL2WBT5um_3",1828595.78772979
"334","Aspartic acid","171023_Smp_IL2IT05um_1",843911.858360801
"335","Aspartic acid","171023_Smp_IL2IT05um_2",922521.673189585
"336","Aspartic acid","171023_Smp_IL2IT05um_3",1045379.33288889
"337","Betaine","171023_Smp_IL2Control5um_1",4967129220.12903
"338","Betaine","171023_Smp_IL2Control5um_2",4318541278.96774
"339","Betaine","171023_Smp_IL2Control5um_3",8233936367.48387
"340","Betaine","171023_Smp_IL2DMB5um_1",5109531119.48387
"341","Betaine","171023_Smp_IL2DMB5um_2",5638353655.74193
"342","Betaine","171023_Smp_IL2DMB5um_3",10493831663.4839
"343","Betaine","171023_Smp_IL2DMBnoBT5um_1",5545717941.67742
"344","Betaine","171023_Smp_IL2DMBnoBT5um_2",5874274485.67742
"345","Betaine","171023_Smp_IL2DMBnoBT5um_3",6784322774.70968
"346","Betaine","171023_Smp_IL2DSW5um_1",10151035408.5161
"347","Betaine","171023_Smp_IL2DSW5um_2",8718492705.03226
"348","Betaine","171023_Smp_IL2DSW5um_3",8483345408
"349","Betaine","171023_Smp_IL2noBT5um_1",5837509400.77419
"350","Betaine","171023_Smp_IL2noBT5um_2",10085607457.0323
"351","Betaine","171023_Smp_IL2noBT5um_3",7714054243.09677
"352","Betaine","171023_Smp_IL2WBT5um_1",4331415452.90323
"353","Betaine","171023_Smp_IL2WBT5um_2",8570866225.54839
"354","Betaine","171023_Smp_IL2WBT5um_3",3870682252.3871
"355","Betaine","171023_Smp_IL2IT05um_1",3007415461.16129
"356","Betaine","171023_Smp_IL2IT05um_2",4943367630.45161
"357","Betaine","171023_Smp_IL2IT05um_3",7042137220.12903
"358","Butyryl-L-carnitine","171023_Smp_IL2Control5um_1",5291395.19354839
"359","Butyryl-L-carnitine","171023_Smp_IL2Control5um_2",3028525.19354839
"360","Butyryl-L-carnitine","171023_Smp_IL2Control5um_3",7035594.58064516
"361","Butyryl-L-carnitine","171023_Smp_IL2DMB5um_1",4245424.12903226
"362","Butyryl-L-carnitine","171023_Smp_IL2DMB5um_2",4902713.80645161
"363","Butyryl-L-carnitine","171023_Smp_IL2DMB5um_3",10309119.2580645
"364","Butyryl-L-carnitine","171023_Smp_IL2DMBnoBT5um_1",4006970.22580645
"365","Butyryl-L-carnitine","171023_Smp_IL2DMBnoBT5um_2",4515815.4516129
